Date,Open,High,Low,Close
2025-01-01,6040.56,6161.05,5866.4,6000.0
2025-01-02,5988.18,6088.95,5979.67,6020.73
2025-01-03,5962.24,6138.88,5895.12,6088.78
2025-01-04,6143.25,6179.41,5956.44,6062.32
2025-01-05,6081.52,6192.95,6043.08,6165.69
2025-01-06,6232.03,6327.86,6062.68,6169.34
2025-01-07,6153.86,6219.17,5908.21,5960.77
2025-01-08,5977.86,6111.19,5848.37,5974.21
2025-01-09,6003.5,6083.82,5859.89,5929.87
2025-01-10,5955.5,6080.93,5895.27,5905.95
2025-01-11,5935.96,6057.56,5831.28,5967.77
2025-01-12,5955.06,6004.31,5846.79,5915.43
2025-01-13,5902.61,5980.46,5695.42,5785.91
2025-01-14,5792.42,5910.08,5714.09,5781.96
2025-01-15,5747.72,5868.91,5623.74,5849.69
2025-01-16,5835.3,5963.84,5718.66,5794.04
2025-01-17,5760.8,5861.61,5621.89,5783.25
2025-01-18,5752.72,6050.7,5743.67,5983.34
2025-01-19,5990.82,6077.44,5736.41,5843.19
2025-01-20,5845.41,6021.36,5802.54,5898.31
2025-01-21,5921.04,6037.33,5794.78,5946.1
2025-01-22,5961.63,6121.71,5951.67,6001.76
2025-01-23,5999.04,6017.89,5941.3,6002.01
2025-01-24,6005.8,6063.22,5787.16,5831.4
2025-01-25,5839.64,5960.58,5740.8,5824.27
2025-01-26,5808.95,5932.01,5766.75,5889.75
2025-01-27,5852.21,5896.23,5721.96,5812.29
2025-01-28,5824.02,5883.95,5699.0,5840.54
2025-01-29,5853.24,5970.88,5775.16,5876.3
2025-01-30,5898.5,5949.76,5851.68,5933.87
2025-01-31,5939.68,5952.32,5838.99,5879.7
2025-02-01,5872.99,6099.65,5734.44,5990.92
2025-02-02,6005.86,6113.06,5924.32,6029.82
2025-02-03,6038.95,6090.31,5772.65,5891.23
2025-02-04,5901.63,6230.1,5846.41,6085.99
2025-02-05,6140.78,6227.3,5955.47,6073.71
2025-02-06,6103.7,6228.75,6066.9,6164.27
2025-02-07,6171.2,6318.55,6080.02,6246.91
